Average hand positions in 3D per letter
========================================

[A]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.004952,-0.314581,-0.299248
2,-0.007443,-0.907012,-0.390891
3,-0.006718,-1.522162,-0.466992
4,-0.004547,-2.010224,-0.498238
5,-0.001515,-1.463374,-0.081536
6,-0.000921,-1.890244,-0.436488
7,-0.001523,-1.407375,-0.624274
8,-0.001718,-1.005496,-0.673005
9,0.002305,-1.452805,-0.034204
10,0.002810,-1.853690,-0.454831
11,0.001756,-1.242700,-0.570747
12,0.000574,-0.817424,-0.525752
13,0.005667,-1.381671,-0.050924
14,0.006021,-1.695679,-0.469427
15,0.004319,-1.103790,-0.426398
16,0.003090,-0.716245,-0.259359
17,0.008812,-1.256785,-0.089488
18,0.009266,-1.542497,-0.365297
19,0.007315,-1.140342,-0.317855
20,0.006225,-0.858975,-0.187428

[B]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.003228,-0.089558,-0.116460
2,0.004943,-0.281020,-0.142723
3,0.002041,-0.412245,-0.151515
4,-0.001313,-0.438760,-0.157064
5,0.005441,-0.474422,-0.063712
6,0.005444,-0.680931,-0.102936
7,0.004636,-0.811978,-0.144159
8,0.004388,-0.923083,-0.177566
9,0.002293,-0.490792,-0.041121
10,0.002308,-0.708240,-0.072675
11,0.002137,-0.857547,-0.119357
12,0.001963,-0.981724,-0.154227
13,-0.000239,-0.466765,-0.032836
14,-0.000202,-0.673222,-0.070198
15,-0.000463,-0.806913,-0.123049
16,-0.000335,-0.920608,-0.158380
17,-0.002755,-0.411603,-0.035566
18,-0.002860,-0.570979,-0.072074
19,-0.002847,-0.675826,-0.100028
20,-0.002749,-0.769747,-0.120268

[C]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.005558,0.068648,-0.322620
2,0.011286,0.035416,-0.477095
3,0.016508,-0.011641,-0.552554
4,0.021608,-0.083505,-0.608380
5,0.005088,-0.368939,-0.459561
6,0.008752,-0.609765,-0.554457
7,0.014404,-0.652222,-0.580910
8,0.018530,-0.625692,-0.576551
9,0.004396,-0.435633,-0.292383
10,0.008174,-0.694968,-0.392678
11,0.014220,-0.715810,-0.415437
12,0.018305,-0.645357,-0.410455
13,0.004322,-0.462062,-0.130720
14,0.007676,-0.669870,-0.214032
15,0.012677,-0.685629,-0.256079
16,0.016202,-0.641114,-0.265624
17,0.004832,-0.467459,0.013194
18,0.008390,-0.610958,-0.045364
19,0.012004,-0.634169,-0.082356
20,0.014701,-0.615897,-0.094221

[D]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.011321,-0.192128,-0.281225
2,0.016413,-0.539514,-0.384339
3,0.005988,-0.770695,-0.459700
4,-0.005395,-0.851856,-0.529689
5,0.011169,-1.088479,-0.173260
6,0.012588,-1.575541,-0.313636
7,0.011479,-1.868477,-0.415369
8,0.010769,-2.124920,-0.493049
9,-0.000218,-1.071380,-0.127217
10,-0.005619,-1.419111,-0.385171
11,-0.008046,-1.095658,-0.494172
12,-0.006289,-0.844170,-0.498635
13,-0.009047,-0.991956,-0.109023
14,-0.015354,-1.276877,-0.373548
15,-0.015388,-0.974705,-0.408981
16,-0.012269,-0.738823,-0.352653
17,-0.016480,-0.854301,-0.111462
18,-0.022255,-1.072489,-0.306906
19,-0.020626,-0.888357,-0.314815
20,-0.016833,-0.705373,-0.265346

[E]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.010483,-0.256144,-0.186456
2,0.014518,-0.676922,-0.234450
3,0.004428,-0.921227,-0.270878
4,-0.005380,-0.868418,-0.271769
5,0.010821,-1.108309,-0.011166
6,0.006472,-1.490461,-0.180065
7,0.005044,-1.177196,-0.287039
8,0.006803,-0.995884,-0.338283
9,0.001548,-1.107276,0.011624
10,-0.001940,-1.535331,-0.166317
11,-0.002882,-1.164919,-0.236496
12,-0.000674,-0.966525,-0.233041
13,-0.006143,-1.055091,-0.002800
14,-0.010532,-1.470348,-0.171723
15,-0.010226,-1.135132,-0.172029
16,-0.007107,-0.908511,-0.115343
17,-0.013110,-0.947194,-0.035715
18,-0.016426,-1.243526,-0.129020
19,-0.015044,-1.044658,-0.103667
20,-0.011999,-0.854540,-0.052750

[F]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.002225,-0.087807,-0.065745
2,-0.003698,-0.212748,-0.124089
3,-0.005045,-0.312043,-0.185501
4,-0.004837,-0.403214,-0.240090
5,-0.001429,-0.469535,-0.043233
6,-0.002915,-0.596256,-0.160422
7,-0.003774,-0.548372,-0.254995
8,-0.004332,-0.469323,-0.302754
9,0.000198,-0.504706,-0.061557
10,-0.000662,-0.703852,-0.136013
11,-0.000931,-0.835182,-0.191183
12,-0.001225,-0.948755,-0.226569
13,0.001345,-0.483023,-0.098898
14,0.001860,-0.686465,-0.172178
15,0.002332,-0.824737,-0.219232
16,0.002309,-0.943614,-0.244871
17,0.002558,-0.408256,-0.142999
18,0.003326,-0.548458,-0.195246
19,0.003861,-0.653366,-0.213054
20,0.004008,-0.752856,-0.220571

[G]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.015501,0.022181,-0.443363
2,-0.034108,-0.161762,-0.491593
3,-0.049112,-0.290065,-0.411620
4,-0.062455,-0.360098,-0.295061
5,-0.027553,-0.800539,-0.338855
6,-0.050845,-0.806046,-0.346218
7,-0.064203,-0.748496,-0.343994
8,-0.074271,-0.736075,-0.339558
9,-0.024845,-0.834498,-0.062526
10,-0.044130,-0.651463,-0.117122
11,-0.041183,-0.391857,-0.127919
12,-0.035391,-0.306320,-0.105144
13,-0.023986,-0.783948,0.187429
14,-0.040712,-0.598847,0.095290
15,-0.037289,-0.369459,0.030976
16,-0.032311,-0.328080,0.025657
17,-0.024109,-0.744126,0.412277
18,-0.035291,-0.581804,0.326833
19,-0.033471,-0.397718,0.268998
20,-0.028585,-0.336007,0.259281

[H]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.001158,-0.185745,-0.134166
2,-0.005451,-0.332990,-0.131879
3,-0.009766,-0.332374,-0.107431
4,-0.012026,-0.262726,-0.071481
5,-0.008156,-0.429991,-0.023406
6,-0.013423,-0.480453,-0.071491
7,-0.017033,-0.488903,-0.105846
8,-0.019962,-0.501206,-0.126737
9,-0.009433,-0.309244,0.006695
